local_id,remote_id.*
1224,journals/concurrency/SkvoretzSB92 
1499,reference/ml/X17io 
497,journals/datascience/Wolf03 
493,conf/iccS/HammamiTC04 
1833,reference/ml/Matwin17 reference/ml/Matwin10 
3849,journals/jcisd/Williams77 
1836,reference/ml/Timmis17 
1221,journals/jcisd/BarczaKWK85 
1834,reference/ml/PutermanP17 
3732,journals/jcisd/ParkarP99 
3794,conf/icalt/TrabelsiF10 
3797,journals/jcisd/ChenRTY99 
3796,conf/dils/LacroixMNR04 
3186,reference/ml/X17n 
3793,conf/IEEEcit/OhtaH11 
1371,conf/sccc/HoltsRA10 
1370,conf/aaaiss/GreenF10 
1373,reference/ml/GartnerHW17 
2405,reference/ml/Jain017a 
2402,journals/jmlr/MannM10 
1376,conf/iccS/WaiyamaiSR04 
933,reference/ml/X17kh 
1378,journals/dsj/MuralidharSP01 
937,reference/ml/X17jp 
935,reference/ml/X17jr 
2409,reference/ml/FlenerS17a 
3835,conf/afips/Armor72 
3830,journals/jcisd/VillarrealMEM75 
1690,journals/jcisd/PerryG92 
3832,journals/ml/ZahalkaZ11 
2451,conf/fmldo/1996 
2746,conf/ieaaie/Stibor10 
455,journals/jcisd/Kirschenbaum80 
1630,reference/ml/X17jw 
3424,journals/jcisd/Hall91 
1228,reference/ml/X17fd 
3804,journals/jcisd/DragoK93 
3562,conf/ncca/MarinovA11 
3563,conf/recsys/BenchettaraKR10 
3248,reference/ml/QuadriantoB17a 
3566,conf/globecom/PuljizPH11 
3567,journals/jcisd/BarkerBK93 
3242,conf/osdi/2010slaml 
3241,conf/igarss/BruzzoneP10 
2319,journals/jmlr/LanckrietGBJ02 
3246,journals/jcisd/PodolyanWK10 
3244,journals/jcisd/SpadacciniH94 
3841,journals/jcisd/TrepalinYDZF95 
3840,conf/rules/95 
3843,journals/jmlr/YuanCHL10 
829,reference/ml/X17db 
3844,journals/jmlr/RigolletT11a 
3847,journals/datascience/Anderson04 
1060,reference/ml/PageN17 
825,reference/ml/X17dg 
370,reference/ml/X17gv 
372,journals/jmlr/YuanW10 
821,reference/ml/X17dk 
823,reference/ml/X17de 
1314,journals/jcisd/Rowlett75 
1334,journals/jcisd/HelmanHCR86 
2909,journals/jcisd/HeidornHN96 
393,journals/ijcat/HowarthKEK10 
2440,journals/jcisd/SettleDKP89 
390,journals/jcisd/RahmanILG01 
1486,reference/ml/Kavka17 
3150,journals/jcisd/Sheridan03 
1484,conf/mdm/2003 
3306,reference/ml/X17cz 
83,journals/jcisd/Williams75 
3304,reference/ml/X17cy 
1488,reference/ml/Torgo17a 
3302,reference/ml/X17cd reference/ml/X10cb 
85,reference/ml/QuadriantoB17b 
1713,journals/sadm/AkovaDDHBRR10 
1117,journals/jcisd/Raman00a 
3309,reference/ml/X17cw 
2413,conf/iconip/MatsuzakiSW11 
1658,journals/jcisd/SatohF99 
1659,journals/jmlr/BalasubramanianDL11a 
7,journals/nar/Gonzalez-CoutoHD01 
2825,journals/jcisd/DelaneyMMSTV93 
3592,journals/jcisd/GautzschZ94 
1657,reference/ml/Jain017b 
2414,reference/ml/X17hx 
586,reference/ml/X17hi 
3214,reference/ml/X17fh 
584,reference/ml/X17hg 
585,reference/ml/X17hf 
582,conf/mlsb/2009 
3660,journals/jmlr/BaehrensSHKHM10 
580,journals/jcisd/DuLY02 
3746,reference/ml/Sipper17a 
3744,journals/jcisd/AllcockL78 
3620,journals/jcisd/Prewitt75 
3742,journals/jcisd/Sargent91 
3216,conf/icmla/WeissBLBZ10 
3740,journals/datamine/BrownM00 
3741,reference/ml/Smart17 reference/ml/Smart10 
3153,books/daglib/p/RubelKBKWHHB12 
3152,reference/ml/Webb17e 
3151,journals/jcisd/Tsonopoulos97 
3217,conf/cidu/MallyaTG11 
3157,journals/jcisd/DuryLLBV01 
2839,reference/ml/Vlachos17 
3154,conf/crv/Artan11 
2837,reference/ml/X17ne 
2836,conf/sigir/LinLJY11 
2832,journals/jcisd/BrownM96 
1348,journals/bmcbi/NitschGOMM10 
2887,reference/ml/X17cs 
3019,reference/ml/Husbands17 
1432,journals/jcisd/TaylorK86 
1433,conf/prib/WidmerTAKR10 
2578,reference/ml/Korb17 reference/ml/McAuleyCB17 
3013,conf/pkdd/Berthold05 
3010,conf/icadl/KrapivinAMBS10 
1981,journals/ml/Garcia-PedrajasCO10 
3016,journals/datascience/BreunigCSS03 
3014,reference/ml/Tadepalli17 
3015,conf/miccai/2011mlmi 
1260,conf/massdata/StrittBFMVWS11 
1731,journals/jcisd/Ilten91 
2378,conf/propor/FernandesSM10 
1382,conf/incdm/GodskK11 
1008,conf/ictai/FogelbergP10 
1007,reference/ml/MichelucciO17 
2795,conf/skg/TuSSZWY10 
2370,journals/jcisd/ShiFMOPFW98 
1001,reference/ml/X17ib 
3593,reference/ml/X17ab 
2899,reference/ml/AbbeelN17 
1225,conf/adbis/ZormanPB10 
3693,journals/jcisd/MoockHOA94 
1223,reference/ml/Webb17i 
1222,reference/ml/CaseJ17 reference/ml/CaseJ10 
3595,reference/ml/RajnarayanW17 
3772,journals/ejasp/InceKKTL10 
451,reference/ml/Craw17 
2457,reference/ml/AbdallahDW17 
453,reference/ml/Jain017 
